,state,county,score
0,Alabama,Autauga,3503.5
1,Alabama,Baldwin,3503.5
2,Alabama,Barbour,3503.5
3,Alabama,Bibb,3503.5
4,Alabama,Blount,3503.5
5,Alabama,Bullock,3503.5
6,Alabama,Butler,3503.5
7,Alabama,Calhoun,3503.5
8,Alabama,Chambers,3503.5
9,Alabama,Cherokee,3503.5
10,Alabama,Chilton,3503.5
11,Alabama,Choctaw,3503.5
12,Alabama,Clarke,3503.5
13,Alabama,Clay,3503.5
14,Alabama,Cleburne,3503.5
15,Alabama,Coffee,3503.5
16,Alabama,Colbert,3503.5
17,Alabama,Conecuh,3503.5
18,Alabama,Coosa,3503.5
19,Alabama,Covington,3503.5
20,Alabama,Crenshaw,3503.5
21,Alabama,Cullman,3503.5
22,Alabama,Dale,3503.5
23,Alabama,Dallas,3503.5
24,Alabama,Elmore,3503.5
25,Alabama,Escambia,3503.5
26,Alabama,Etowah,3503.5
27,Alabama,Fayette,3503.5
28,Alabama,Franklin,3503.5
29,Alabama,Geneva,3503.5
30,Alabama,Greene,3503.5
31,Alabama,Hale,3503.5
32,Alabama,Henry,3503.5
33,Alabama,Houston,3503.5
34,Alabama,Jackson,3503.5
35,Alabama,Jefferson,3503.5
36,Alabama,Lamar,3503.5
37,Alabama,Lauderdale,3503.5
38,Alabama,Lawrence,3503.5
39,Alabama,Lee,3503.5
40,Alabama,Limestone,3503.5
41,Alabama,Lowndes,3503.5
42,Alabama,Macon,3503.5
43,Alabama,Madison,3503.5
44,Alabama,Marengo,3503.5
45,Alabama,Marion,3503.5
46,Alabama,Marshall,3503.5
47,Alabama,Mobile,3503.5
48,Alabama,Monroe,3503.5
49,Alabama,Montgomery,3503.5
50,Alabama,Morgan,3503.5
51,Alabama,Perry,3503.5
52,Alabama,Pickens,3503.5
53,Alabama,Pike,3503.5
54,Alabama,Randolph,3503.5
55,Alabama,Russell,3503.5
56,Alabama,Shelby,3503.5
57,Alabama,Sumter,3503.5
58,Alabama,Talladega,3503.5
59,Alabama,Tallapoosa,3503.5
60,Alabama,Tuscaloosa,3503.5
61,Alabama,Walker,3503.5
62,Alabama,Washington,3503.5
63,Alabama,Wilcox,3503.5
64,Alabama,Winston,3503.5
65,Arizona,Apache,1592.75
66,Arizona,Cochise,1592.75
67,Arizona,Coconino,1592.75
68,Arizona,Gila,1592.75
69,Arizona,Graham,1592.75
70,Arizona,Greenlee,1592.75
71,Arizona,La Paz,1592.75
72,Arizona,Maricopa,1592.75
73,Arizona,Mohave,1592.75
74,Arizona,Navajo,1592.75
75,Arizona,Pima,1592.75
76,Arizona,Pinal,1592.75
77,Arizona,Santa Cruz,1592.75
78,Arizona,Yavapai,1592.75
79,Arizona,Yuma,1592.75
80,Arkansas,Arkansas,3041.25
81,Arkansas,Ashley,3041.25
82,Arkansas,Baxter,3041.25
83,Arkansas,Benton,3041.25
84,Arkansas,Boone,3041.25
85,Arkansas,Bradley,3041.25
86,Arkansas,Calhoun,3041.25
87,Arkansas,Carroll,3041.25
88,Arkansas,Chicot,3041.25
89,Arkansas,Clark,3041.25
90,Arkansas,Clay,3041.25
91,Arkansas,Cleburne,3041.25
92,Arkansas,Cleveland,3041.25
93,Arkansas,Columbia,3041.25
94,Arkansas,Conway,3041.25
95,Arkansas,Craighead,3041.25
96,Arkansas,Crawford,3041.25
97,Arkansas,Crittenden,3041.25
98,Arkansas,Cross,3041.25
99,Arkansas,Dallas,3041.25
100,Arkansas,Desha,3041.25
101,Arkansas,Drew,3041.25
102,Arkansas,Faulkner,3041.25
