state,Hillary,DemOthers,Trump,RepOthers
Vermont , 30830 , 16786 , 67349 , 22901
Georgia , 735723 , 364955 , 595463 , 520347
Oklahoma , 268505 , 483375 , 266603 , 166199
Florida , 440976 , 159568 , 183996 , 145267
Mississippi , 226532 , 175376 , 418387 , 238153
Illinois , 229308 , 247133 , 298571 , 274429
Nebraska , 275856 , 134791 , 0 , 0
Arkansas , 289769 , 179828 , 238253 , 185577
Missouri , 512271 , 168468 , 270235 , 242848
Ohio , 232742 , 215226 , 278768 , 238252
Alabama , 464999 , 123208 , 246786 , 178508
New York , 66399 , 57064 , 61655 , 19982
Louisiana , 175195 , 178332 , 179237 , 149615
Texas , 838937 , 768294 , 927213 , 722043
Arizona , 112752 , 47586 , 74518 , 60482
Iowa , 659985 , 238379 , 366152 , 319620
Colorado , 256607 , 168601 , 0 , 0
Michigan , 288003 , 182355 , 253128 , 198616
Utah , 105409 , 192972 , 114194 , 64793
Virginia , 330241 , 216544 , 433120 , 358291
North Carolina , 309252 , 291730 , 320663 , 281386
Tennessee , 361313 , 142255 , 327389 , 264471
New Hampshire , 36637 , 3973 , 9358 , 21727
Idaho , 299589 , 68061 , 235706 , 100257
South Carolina , 47167 , 72900 , 235856 , 104593
Nevada , 15026 , 35707 , 36929 , 33754
Maine , 40807 , 19803 , 0 , 0
Massachusetts , 20673 , 8726 , 26404 , 23029
