,Barack Obama,DemOthers,JohnMcCain,RepOthers,FinalObama,FinalJohn
Alabama,300319,235965,206870,352238,813479,1266546
Alaska,6674,2225,1804,10223,123594,193841
Arizona,193126,256004,255197,287775,1034707,1230111
Arkansas,82476,234739,46343,185372,422310,638017
California,2186662,2898598,1238988,1710983,8274473,5011781
Colorado,80113,39459,12918,58849,1288576,1073589
Connecticut,179742,172693,78836,72772,997772,629428
Delaware,51148,45358,22628,27656,255459,152374
Dist. of Col.,93386,29490,4198,1976,245800,17367
Florida,576214,1169889,701761,1247575,4282074,4045624
Georgia,704247,346868,304751,647596,1844137,2048744
Hawaii,28347,8952,19,0,325871,120566
Idaho,16880,4487,87460,37483,236440,403012
Illinois,1318234,709818,426777,481259,3419673,2031527
Indiana,632061,657859,320308,95676,1374039,1345648
Iowa,93952,153290,15536,103972,828940,682379
Kansas,27172,9547,4587,14526,514765,699655
Kentucky,209954,489893,142918,55579,751985,1048462
Louisiana,220632,166442,67551,93285,782989,1148275
Maine,2063,1434,1189,4216,421923,295273
Maryland,532665,340556,176046,144038,1629467,959862
Massachusetts,511680,736320,204779,294682,1904097,1108854
Michigan,208924,388002,257985,601965,2872579,2048639
Minnesota,142109,73208,13826,49019,1573354,1275409
Mississippi,265502,169747,114828,44655,554662,724597
Missouri,406917,423526,194053,393986,1441911,1445814
Montana,103174,77833,358,1269,231667,242763
Nebraska,26126,12295,118065,17642,333319,452979
Nevada,4805,5873,5650,37812,533736,412827
New Hampshire,104815,178469,88713,151052,384826,316534
New Jersey,501372,638110,313459,256466,2215422,1613207
New Mexico,71396,77346,95378,15527,472422,346832
New York,751019,1126529,333001,307386,4769700,2742298
North Carolina,887391,697236,383085,134597,2142651,2128474
North Dakota,11625,7432,2178,7292,141278,168601
Ohio,1055769,1290384,656687,437791,2933388,2674491
Oklahoma,130130,289644,122772,209044,502496,960165
Oregon,375385,260861,285881,50450,1037291,738475
Pennsylvania,1061441,1297317,595175,220133,3276363,2655885
Rhode Island,75316,112974,17480,9412,296571,165391
South Carolina,294898,241280,147686,299847,862449,1034896
South Dakota,43669,53373,42788,18338,170924,203054
Tennessee,252874,363892,176091,374193,1087437,1479178
Texas,1362476,1476016,697767,670404,3528633,4479328
Utah,74538,56230,15931,302689,327670,596030
Vermont,91901,63863,28417,11051,219262,98974
Virginia,627820,353149,244829,244829,1959532,1725005
Washington,21768,10244,262304,262304,1750848,1229216
West Virginia,92726,263912,90467,28569,303857,397466
Wisconsin,646851,468409,224755,183890,1677211,1262393
Wyoming,5378,3438,1,19,82868,164958
