,0,1,2
690,Louisiana,East Baton Rouge,1103.8338514356374
827,Mississippi,Alcorn,16741.002996998464
122,Arkansas,Lonoke,2437.616088392844
1798,Utah,Sanpete,18615.38596735556
839,Mississippi,Coahoma,116.4918793427073
1435,Tennessee,Benton,-743.7239021892096
237,Florida,Glades,-381.7042220766248
1600,Texas,Fannin,1447.1769720500824
1476,Tennessee,Jefferson,1691.6616660715645
1184,North Carolina,Montgomery,-364.50881899391266
730,Maine,Knox,285.52120321851453
159,Colorado,Bent,-168.20810669030607
1511,Tennessee,Smith,783.1967714777388
883,Mississippi,Quitman,188.4548992754826
661,Iowa,Tama,650.8220012287625
1510,Tennessee,Shelby,931.9912237183516
852,Mississippi,Issaquena,663.6762560193238
327,Georgia,Douglas,522.1852681354449
1120,Nevada,Pershing,2168.4512884798614
702,Louisiana,Lincoln,74397.5859471268
1174,North Carolina,Jones,536.4119236763663
1011,Missouri,Webster,-498.2333204929464
1776,Texas,Young,16.75952507926786
611,Iowa,Franklin,-557.3567003685109
1690,Texas,Milam,233.95470199714327
1356,Oklahoma,McClain,-171.3889769536131
1561,Texas,Castro,1906.5457523834366
273,Florida,Sumter,626.9394083781954
431,Georgia,Webster,-235.9951903571673
409,Georgia,Talbot,106.4248366675306
62,Alabama,Washington,403.55664563378195
141,Arkansas,Saline,399.93388334031715
347,Georgia,Habersham,6059.5296277529915
1110,Nevada,Douglas,5362.849817988602
1759,Texas,Victoria,2989.38693865448
1605,Texas,Fort Bend,48.67078756153478
1687,Texas,Medina,1093.309476689135
1393,South Carolina,Beaufort,679.0887741963679
1329,Oklahoma,Creek,18515.010112279586
1655,Texas,Kendall,397.2011987061087
1443,Tennessee,Cheatham,860.5483814537547
1461,Tennessee,Greene,-106.709000566952
144,Arkansas,Sebastian,318.4920246760835
1049,Nebraska,Garfield,443.9635971236794
1606,Texas,Franklin,50431.42076380141
455,Idaho,Clark,1004.741230744602
588,Iowa,Butler,233.7528606280216
501,Illinois,Edwards,519.7635987609419
439,Idaho,Ada,2581.5716739830013
1458,Tennessee,Gibson,3217.267216222591
722,Louisiana,Webster,1501.9272143925218
643,Iowa,Monona,-179.9497486927171
313,Georgia,Cobb,318.1465953701818
1797,Utah,San Juan,-775.16676534305
382,Georgia,Montgomery,220.35437310341695
1890,Virginia,Powhatan,140.38069109284652
1720,Texas,Refugio,242.23650302075157
1874,Virginia,Madison,1958.1557466928389
146,Arkansas,Sharp,590.4788663435265
1903,Virginia,Smyth,668.838541085066
1015,Nebraska,Antelope,869.8888852086939
1106,Nebraska,York,1244.1005727257284
560,Illinois,Scott,10724.625775319397
1586,Texas,Delta,554.1199972977684
1290,Ohio,Preble,-63.06721602200196
1505,Tennessee,Robertson,1769.7192053066447
660,Iowa,Story,-524.9277204435471
512,Illinois,Hardin,-184.71239523962777
671,Iowa,Winneshiek,-149.79009975376903
797,Michigan,Mason,2494.6802751111636
1245,Ohio,Fairfield,281.17822977891547
1569,Texas,Collin,-131.61108367800762
982,Missouri,Pemiscot,-103.9811003886307
1144,North Carolina,Chowan,37.05093071485226
1409,South Carolina,Greenville,12685.665156743453
167,Colorado,Crowley,2197.5614331265524
813,Michigan,Otsego,-703.5009823112061
1884,Virginia,Northumberland,1082.6325806261138
1775,Texas,Yoakum,795.0074056236199
61,Alabama,Walker,672.1004344830135
1809,Vermont,Bennington,309.71564507144785
1604,Texas,Foard,6399.08034783584
1189,North Carolina,Onslow,433.3417685924378
1033,Nebraska,Cuming,621.6251697036068
1519,Tennessee,Van Buren,-559.8966159659785
33,Alabama,Houston,1817.612099040216
1013,Missouri,Wright,-80.75227457223627
