,0,1,2
1163,North Carolina,Transylvania,584.9316048926285
1273,Oklahoma,Carter,13199.577994241612
307,Georgia,Lowndes,744.9699877822741
1576,Texas,Hansford,-1959.247547728437
636,Kentucky,Clay,24910.14419889102
734,Louisiana,Assumption,836.84132521015
560,Iowa,Iowa,26552.226364465594
975,Missouri,Clay,2384.482483916293
487,Illinois,Pope,2363.3652148982346
933,Mississippi,Simpson,-2105.9307703656686
1435,Tennessee,Lewis,4147.446738395247
778,Louisiana,Webster,15925.33366275187
1146,North Carolina,Pender,1094.709247281473
194,Florida,Martin,1130.8659715893555
1251,Ohio,Stark,3685.0036695737854
633,Kentucky,Casey,3303.296032932648
1698,Texas,Taylor,3907.17901495974
334,Georgia,Rabun,2642.6703472065647
425,Illinois,Carroll,-25.45745424742745
411,Idaho,Payette,3016.8201787270846
1324,Oklahoma,Pontotoc,790.9140858684405
957,Missouri,Barton,5185.743307139237
1095,North Carolina,Chatham,2296.245643679913
45,Alabama,Marion,2041.29733265272
1103,North Carolina,Dare,3874.6062173277796
115,Arkansas,Johnson,7005.015987630497
17,Alabama,Conecuh,2396.7186625706
1035,Missouri,Pulaski,12792.718635844089
522,Iowa,Buchanan,1558.1907834121357
366,Georgia,Wayne,1005.9210210301053
51,Alabama,Perry,2514.2727220825873
893,Mississippi,Hancock,15832.814750428464
1137,North Carolina,Montgomery,1561.7132203881683
347,Georgia,Tattnall,2884.4295596910706
985,Missouri,Dunklin,739.0415328751515
910,Mississippi,Lee,1630.347052239952
1205,Ohio,Guernsey,36743.7938623698
1756,Utah,Utah,34.29076562161481
1877,New Hampshire,Merrimack,-645.7759483685386
1313,Oklahoma,Muskogee,-121.70197652666184
1629,Texas,Lubbock,1319.9888286741843
1221,Ohio,Logan,2022.664070332603
1193,Ohio,Cuyahoga,299.64255122591294
1316,Oklahoma,Okfuskee,1694.372068773735
646,Kentucky,Floyd,2438.218358806268
589,Iowa,Pottawattamie,-1035.0959145530724
1623,Texas,Liberty,5650.177868391467
239,Georgia,Catoosa,-142.54399772502165
41,Alabama,Lowndes,2230.747732490725
1759,Utah,Wayne,2696.100318479689
50,Alabama,Morgan,5351.443054243669
1030,Missouri,Pettis,1797.393337526295
1096,North Carolina,Cherokee,2271.0714834041783
671,Kentucky,Knox,1742.8838239920296
1773,Virginia,Alleghany,-804.3909598527152
1515,Texas,Chambers,3248.229592554908
679,Kentucky,Lincoln,443.6656078590686
1580,Texas,Harrison,2519.772474678198
459,Illinois,Kendall,1794.5522021205215
