,0,1,2
789,Michigan,Leelanau,5754.109288808991
160,Colorado,Boulder,-599.2637969595639
594,Iowa,Cherokee,-82.76915655999483
1156,North Carolina,Forsyth,-2027.4557232808688
1152,North Carolina,Davie,1792.222544942921
1055,Nebraska,Harlan,-1355.1582239732575
1271,Ohio,Madison,6167.8153091143
722,Louisiana,Webster,732.0860118644246
1371,Oklahoma,Pontotoc,44.66211679420621
1202,North Carolina,Rowan,1581.0749379033264
1295,Ohio,Scioto,-546.6839072557314
824,Michigan,Wayne,4068.825511937802
292,Georgia,Bleckley,556.7977235494291
226,Florida,Citrus,-739.5770578889674
1040,Nebraska,Dodge,3919.6919774111648
182,Colorado,Huerfano,-677.6629158428732
1498,Tennessee,Overton,2106.537717044049
117,Arkansas,Lawrence,498.7236294137688
1283,Ohio,Noble,1067.1354286449573
993,Missouri,Ray,-522.611999372929
473,Idaho,Oneida,1488.979795814139
770,Michigan,Gladwin,4105.923791328138
1600,Texas,Fannin,1573.48029275006
815,Michigan,Presque Isle,2703.735433375641
1462,Tennessee,Grundy,1369.9032408566286
1345,Oklahoma,Johnston,2076.483005141093
1190,North Carolina,Orange,4410.965865143997
1086,Nebraska,Red Willow,-1008.667091861947
1629,Texas,Haskell,5675.170265296742
284,Georgia,Baker,2506.893917162169
479,Idaho,Twin Falls,23509.314320651778
1128,North Carolina,Ashe,2561.9753578503464
1671,Texas,Limestone,51.75194743920292
1812,Vermont,Franklin,1483.1406465219738
1564,Texas,Childress,-1190.8248181377662
5,Alabama,Bullock,-131.0233478488185
1739,Texas,Stephens,1997.5520897639403
978,Missouri,Nodaway,-989.9959359272693
768,Michigan,Emmet,4739.171195811758
1406,South Carolina,Fairfield,2782.0115499451435
1403,South Carolina,Dillon,1894.8889842168796
421,Georgia,Turner,1358.484215110569
1041,Nebraska,Douglas,786.7246288994102
1846,Virginia,Fairfax,-668.1180795681694
1299,Ohio,Summit,-430.06680113212497
1531,Texas,Archer,1328.6543944231116
222,Florida,Brevard,825.747370466001
1181,North Carolina,McDowell,-428.4852956690115
230,Florida,Dixie,1252.3335408078538
1110,Nevada,Douglas,454.49121640415797
1871,Virginia,Loudoun,2308.555512965782
1556,Texas,Callahan,958.3167286116236
1591,Texas,Donley,4555.764443616421
755,Michigan,Berrien,1610.8168988405819
1479,Tennessee,Lake,605.29312518082
382,Georgia,Montgomery,-164.59456297962288
1139,North Carolina,Carteret,2368.3008007786684
1261,Ohio,Huron,-114.9657036157505
894,Mississippi,Tishomingo,-549.1380625963379
