,0,1,2
688,Kentucky,Mason,-646.3806146563684
1230,Ohio,Miami,18282.389261583216
93,Arkansas,Columbia,234.78170734762625
993,Missouri,Hickory,2527.1944225776306
395,Idaho,Franklin,2811.8012771545136
32,Alabama,Henry,1170.0359963815981
1841,Virginia,Patrick,311.3920345860579
1111,North Carolina,Gaston,-703.9982789184678
194,Florida,Martin,2575.8186743374426
1582,Texas,Haskell,747.8431898419949
1719,Texas,Wheeler,4346.265950205488
1009,Missouri,Livingston,3211.4222716993218
149,Arkansas,Van Buren,583.4307486369598
682,Kentucky,Lyon,1052.6499661720618
440,Illinois,Ford,615.7756481127481
87,Arkansas,Carroll,2803.628864343401
1553,Texas,Fannin,699.6112308518013
285,Georgia,Hancock,1938.034595802469
182,Florida,Indian River,4868.7621913209105
633,Kentucky,Casey,-1328.4644454698637
1818,Virginia,James City,1103.8790977144736
1550,Texas,El Paso,5011.763687367194
455,Illinois,Jersey,2548.28770208878
1849,Virginia,Richmond,5289.1450356254545
1498,Texas,Bowie,2144.130621073984
821,Michigan,Houghton,1134.1516371406387
1349,South Carolina,Charleston,118.25644851004654
186,Florida,Lake,985.9213747837175
670,Kentucky,Knott,1599.7193136781952
796,Michigan,Arenac,1085.8918324419556
1561,Texas,Frio,2049.8216756450965
1514,Texas,Castro,5970.532769070173
1451,Tennessee,Overton,1763.3707916254943
1132,North Carolina,Madison,6728.458570373826
1533,Texas,Crosby,1431.0669279504154
65,Arizona,Apache,-1438.567059303704
938,Mississippi,Tate,2182.4715340151597
237,Georgia,Candler,1977.6929489669292
1191,Ohio,Coshocton,1146.7083025065185
412,Idaho,Power,4491.284485986746
902,Mississippi,Jefferson,1006.0136438691916
1434,Tennessee,Lawrence,2946.4463638964417
555,Iowa,Harrison,1230.9362953685777
1223,Ohio,Lucas,1318.3285133325708
62,Alabama,Washington,1271.173447600666
1431,Tennessee,Knox,3332.51028598187
751,Louisiana,Grant,769.6047169187868
181,Florida,Holmes,1952.3501477219224
1440,Tennessee,Marion,378.73348839689515
333,Georgia,Quitman,1848.9681948396646
1014,Missouri,McDonald,-502.06836101879253
1726,Texas,Wise,4401.5113868255785
291,Georgia,Houston,2829.5438476482377
376,Idaho,Adams,3486.9356039117965
325,Georgia,Paulding,1643.3810572243883
1556,Texas,Floyd,1796.3855087369802
438,Illinois,Effingham,2000.3042846934259
1509,Texas,Callahan,188.40308993441704
9,Alabama,Cherokee,1838.821419422743
1250,Ohio,Shelby,1176.4783660837084
12,Alabama,Clarke,620.8433609620015
841,Michigan,Manistee,1481.3360769513129
1409,Tennessee,Fentress,2115.3777109503926
421,Illinois,Boone,6509.21363410401
123,Arkansas,Madison,666.411721304703
1545,Texas,Duval,1459.4531814137072
762,Louisiana,Natchitoches,600.5517406876861
1204,Ohio,Greene,912.3905377348792
1874,New Hampshire,Coos,2081.773207824651
520,Iowa,Boone,1211.9832753544679
