,0,1,2
627,Iowa,Jefferson,3163.883242683497
696,Louisiana,Iberia,8473.296843763641
580,Iowa,Appanoose,1553.0769277847148
1084,Nebraska,Platte,1738.9974697954972
797,Michigan,Mason,2811.1096498864845
3,Alabama,Bibb,1334.3766646143447
581,Iowa,Audubon,1288.367367100243
1224,Ohio,Allen,6638.455440577076
65,Arizona,Apache,3583.3028933615487
1123,Nevada,White Pine,1161.2129033599563
927,Missouri,Christian,1271.8674870238974
1736,Texas,Smith,2941.4712441570846
99,Arkansas,Dallas,-919.7890061442865
1405,South Carolina,Edgefield,1477.288542509106
1759,Texas,Victoria,1426.5998051109793
565,Illinois,Union,1597.7102195091152
1485,Tennessee,Macon,1407.7515125897944
765,Michigan,Delta,1459.6520920566084
978,Missouri,Nodaway,1272.2624178531598
532,Illinois,Madison,74051.86339596614
688,Louisiana,Claiborne,1326.0125846157068
873,Mississippi,Neshoba,1408.1651055864374
1527,Texas,Anderson,1419.7703901406126
1410,South Carolina,Greenwood,1603.6886756158574
1858,Virginia,Halifax,1262.963655549394
146,Arkansas,Sharp,3708.6081623324853
761,Michigan,Chippewa,1525.4718659632724
1815,Vermont,Rutland,2722.075183192257
648,Iowa,Page,1402.742922500418
1825,Virginia,Augusta,2161.2948185279756
129,Arkansas,Nevada,1235.8016730154545
23,Alabama,Dallas,1298.9073278889673
1766,Texas,Wheeler,1500.782853954703
805,Michigan,Muskegon,1664.9177401208701
1329,Oklahoma,Creek,25025.52785115902
968,Missouri,McDonald,1220.2790842184097
957,Missouri,LaClede,1518.1473838767556
883,Mississippi,Quitman,1215.7586115649926
1682,Texas,Matagorda,1471.3690440049677
782,Michigan,Jackson,2836.1202464469748
1781,Utah,Cache,1468.7247780958246
489,Illinois,Carroll,2809.1536785368053
449,Idaho,Boundary,1535.2925966605712
502,Illinois,Effingham,1384.465541349019
1792,Utah,Millard,4930.986298967842
574,Illinois,Williamson,1414.1536310852268
1919,New Hampshire,Carroll,1346.2817123018317
599,Iowa,Clinton,1367.6493940597463
1371,Oklahoma,Pontotoc,1258.1457746166673
1871,Virginia,Loudoun,29708.17132070307
444,Idaho,Bingham,1523.7107495813711
267,Florida,Pinellas,1936.429221435822
775,Michigan,Houghton,1300.3429956188602
1340,Oklahoma,Harper,1388.6075316049937
1081,Nebraska,Perkins,2943.9412834094237
468,Idaho,Lewis,1316.3379077509571
515,Illinois,Iroquois,1881.6436016212629
20,Alabama,Crenshaw,1410.7821650863461
800,Michigan,Midland,1272.1669725787594
643,Iowa,Monona,1161.7427086273108
533,Illinois,Marion,1211.0631875697143
119,Arkansas,Lincoln,1403.010667901469
1085,Nebraska,Polk,1339.9948020671243
798,Michigan,Mecosta,1565.8203969991057
1536,Texas,Bandera,2410.574958018976
327,Georgia,Douglas,1872.1716828759336
50,Alabama,Morgan,1387.654452636752
320,Georgia,Crisp,2695.4148029933835
830,Mississippi,Benton,1499.5948479862348
1208,North Carolina,Surry,1938.6118713986978
602,Iowa,Davis,1343.8667635215502
1225,Ohio,Ashland,17628.101842304644
1424,South Carolina,Orangeburg,1471.1651453235531
1305,Ohio,Warren,2510.5973820949152
1689,Texas,Midland,4622.60669545919
1523,Tennessee,Weakley,1399.849063300523
445,Idaho,Blaine,1942.3226111655856
378,Georgia,Meriwether,2235.4539779370652
806,Michigan,Newaygo,1997.5263267398673
516,Illinois,Jackson,1612.3337527974222
109,Arkansas,Hot Spring,1285.9453499485612
1286,Ohio,Perry,11656.226649672033
1654,Texas,Kaufman,1277.4789950078598
1899,Virginia,Rockingham,1345.7861252424632
1182,North Carolina,Mecklenburg,1837.5490240167323
1476,Tennessee,Jefferson,1417.737155971921
1543,Texas,Borden,1396.116365678283
1161,North Carolina,Granville,1260.7622214201492
1623,Texas,Hansford,1482.9243523856792
911,Missouri,Barton,1341.9255126866396
636,Iowa,Lyon,1092.4124532996127
1630,Texas,Hays,1364.413885054323
1604,Texas,Foard,1499.4644705736773
1651,Texas,Johnson,-5166.457351746367
1598,Texas,Erath,1517.0054406372558
1019,Nebraska,Boone,1311.2709184611292
1568,Texas,Coleman,1288.819296493434
219,Florida,Baker,1625.3678677526245
1198,North Carolina,Randolph,1384.2546487692177
58,Alabama,Talladega,1211.7641542991812
583,Iowa,Black Hawk,1262.3679019325937
1259,Ohio,Hocking,3349.2377904566765
470,Idaho,Madison,6648.820370958436
1708,Texas,Parker,11052.132265487899
1601,Texas,Fayette,1172.1690101191543
847,Mississippi,Hancock,1457.263048338813
1797,Utah,San Juan,1251.1136073403416
1664,Texas,Lamar,1289.6517334797127
206,Colorado,Rio Blanco,1396.3774728885592
1624,Texas,Hardeman,1670.1393481562952
475,Idaho,Payette,2841.775463403114
747,Michigan,Allegan,1690.7660887940174
1596,Texas,Ellis,1288.7829219523726
375,Georgia,Marion,1533.765227874856
1257,Ohio,Henry,2043.6906840636143
1034,Nebraska,Custer,1253.9476719895854
1099,Nebraska,Thomas,1350.3624882156437
933,Missouri,Crawford,11008.548589369771
1846,Virginia,Fairfax,1324.0359196688757
1665,Texas,Lamb,1351.4529992366963
552,Illinois,Pulaski,1279.522156197891
705,Louisiana,Morehouse,2466.7241562944528
1704,Texas,Oldham,2104.9796218119195
331,Georgia,Elbert,1566.8694177298842
1458,Tennessee,Gibson,1251.1253317513692
1514,Tennessee,Sumner,1315.955258299754
1262,Ohio,Jackson,2500.524886985073
866,Mississippi,Lincoln,1283.6724315064585
476,Idaho,Power,8049.0978425383855
1303,Ohio,Van Wert,1372.6323365137187
183,Colorado,Jackson,3262.0543349483924
1153,North Carolina,Duplin,1920.3705419787057
1001,Missouri,Shelby,1340.8482414868236
1581,Texas,Culberson,1265.3376381514586
735,Maine,Washington,1356.5639265801217
349,Georgia,Hancock,1354.0113973016466
1283,Ohio,Noble,1568.4244434893185
892,Mississippi,Tate,1254.115164383472
857,Mississippi,Jones,2626.312115351231
1363,Oklahoma,Okfuskee,1438.6871601146406
159,Colorado,Bent,1410.6575219575984
1653,Texas,Karnes,1798.9813130626908
769,Michigan,Genesee,1475.600754392624
1880,Virginia,New Kent,1437.0611920530614
1532,Texas,Armstrong,1274.7796833965444
367,Georgia,Lee,1284.6116293208781
1486,Tennessee,Madison,1528.510431330112
1203,North Carolina,Rutherford,1306.181851047355
895,Mississippi,Tunica,1251.0043737198127
1433,Tennessee,Anderson,1444.1124103899492
1013,Missouri,Wright,1359.0812952915835
595,Iowa,Chickasaw,1312.7580584063628
726,Louisiana,Winn,1251.3456034964486
956,Missouri,Knox,4844.265977607452
36,Alabama,Lamar,1321.4534490821657
1475,Tennessee,Jackson,1260.9637616502964
1318,Oklahoma,Caddo,3505.0599070316257
487,Illinois,Bureau,1703.038738296311
1641,Texas,Hunt,1320.1035285327112
374,Georgia,Madison,4015.9501505844064
517,Illinois,Jasper,3204.3083230052503
1241,Ohio,Darke,5103.531999196733
88,Arkansas,Chicot,1370.3268740424485
1925,New Hampshire,Rockingham,4902.239478436779
1436,Tennessee,Bledsoe,1853.790021070229
1739,Texas,Stephens,1276.9745832775816
1263,Ohio,Jefferson,1333.218824844239
1354,Oklahoma,Marshall,1435.5863239933549
430,Georgia,Wayne,1309.9327157232458
52,Alabama,Pickens,1585.3437962605046
1227,Ohio,Athens,1284.8497947592791
134,Arkansas,Pike,1558.4830818573614
909,Missouri,Audrain,2687.391421443639
783,Michigan,Kalamazoo,1916.6498614944765
1550,Texas,Brooks,1268.9352476424538
1768,Texas,Wilbarger,1358.3658682373346
926,Missouri,Chariton,1807.661702014135
936,Missouri,Daviess,1668.1105053933697
1304,Ohio,Vinton,1857.4554884122897
195,Colorado,Moffat,6876.7029779164295
460,Idaho,Fremont,1434.7440382003422
485,Illinois,Boone,1286.0349100289197
915,Missouri,Boone,1487.4326064837837
225,Florida,Charlotte,1281.881050329219
1922,New Hampshire,Grafton,2396.8575943950045
789,Michigan,Leelanau,1488.8108823437212
1891,Virginia,Prince Edward,8895.007293075074
1427,South Carolina,Saluda,3016.7473188424387
1697,Texas,Motley,3500.496942905401
876,Mississippi,Oktibbeha,1358.876807111743
103,Arkansas,Franklin,2915.648115491548
151,Arkansas,White,1407.699751550377
1383,Oklahoma,Washington,2567.347317094812
812,Michigan,Oscoda,1264.3815210342875
1700,Texas,Newton,700.0789577000721
222,Florida,Brevard,1302.93266044548
855,Mississippi,Jasper,1253.0461810533243
700,Louisiana,Lafayette,1308.9518556565367
1246,Ohio,Fayette,1254.6511047567108
1694,Texas,Montgomery,1458.4927167650872
810,Michigan,Ontonagon,23228.317267001235
51,Alabama,Perry,21718.988667260925
1209,North Carolina,Swain,2166.8022234647206
1324,Oklahoma,Cleveland,1139.3432829868943
