,0,1,2
946,Mississippi,Wayne,2445.894370903389
1223,Ohio,Lucas,2746.158482766993
1048,Missouri,Stoddard,2415.7365058784685
1256,Ohio,Van Wert,2586.3994437650967
590,Iowa,Poweshiek,6883.278832522057
346,Georgia,Taliaferro,2708.421268120468
672,Kentucky,LaRue,2514.587340552758
364,Georgia,Warren,3136.5483883821644
1135,North Carolina,Mecklenburg,3379.8582459782715
1340,South Carolina,Abbeville,3654.769359488533
568,Iowa,Lee,2540.794959877554
1690,Texas,Somervell,5517.292344691439
1304,Oklahoma,Logan,2481.137098258027
1106,North Carolina,Duplin,2478.038804002669
1451,Tennessee,Overton,3480.0129118544837
786,Massachusetts,Hampden,2403.5259717570007
880,Mississippi,Chickasaw,2809.4566088740476
1267,Oklahoma,Beaver,22130.808002574973
1295,Oklahoma,Hughes,2449.060965813072
1012,Missouri,Maries,2291.537473352506
1184,Ohio,Butler,10977.138355954865
994,Missouri,Holt,2675.445557860365
287,Georgia,Harris,3263.7694517255404
1786,Virginia,Campbell,2429.3549897802304
943,Mississippi,Walthall,2553.265420167475
1859,Virginia,Stafford,2628.543598464738
713,Kentucky,Rowan,2593.714337025447
1054,Missouri,Warren,2324.748222738537
248,Georgia,Clinch,2489.733095074564
521,Iowa,Bremer,2449.3858890729066
1274,Oklahoma,Cherokee,2867.8641294501217
1238,Ohio,Paulding,2865.5685242755567
1773,Virginia,Alleghany,2473.068289383336
767,Louisiana,Rapides,2543.880582734837
1617,Texas,Lamar,11347.299650520155
627,Kentucky,Caldwell,3520.3225483772676
1024,Missouri,Nodaway,3273.789611484532
1752,Utah,Sevier,2896.655593321266
1876,New Hampshire,Hillsborough,2532.681844638718
1855,Virginia,Shenandoah,2470.585314542903
1491,Texas,Baylor,2716.1833748066115
1232,Ohio,Montgomery,2603.438608808153
250,Georgia,Coffee,2488.442451936633
825,Michigan,Iosco,2207.1798893696086
1220,Ohio,Licking,2409.613210872948
1843,Virginia,Powhatan,2781.9302854899406
1502,Texas,Briscoe,2624.3916096488697
971,Missouri,Cedar,2631.4770256881948
1391,Tennessee,Bradley,2040.31010420094
468,Illinois,Madison,2479.7506883225433
307,Georgia,Lowndes,4191.386635659895
397,Idaho,Gem,2649.3852437356722
291,Georgia,Houston,2416.6071451362877
717,Kentucky,Simpson,11382.950652910426
766,Louisiana,Pointe Coupee,2315.478180691792
359,Georgia,Union,2664.1797278369895
282,Georgia,Gwinnett,2420.782006361451
636,Kentucky,Clay,2849.6841733816987
1649,Texas,Morris,3705.1167644898323
1676,Texas,Rockwall,2535.170793945863
1775,Virginia,Amherst,2538.0900408794882
1162,North Carolina,Swain,2619.5506617695164
8,Alabama,Chambers,26433.35732157358
432,Illinois,Coles,2482.3878724204674
922,Mississippi,Oktibbeha,3075.7492489436036
898,Mississippi,Issaquena,4041.2200652248216
1372,South Carolina,Marion,7541.668152017256
127,Arkansas,Monroe,3093.8616551409996
622,Kentucky,Bracken,1338.5583613442004
1625,Texas,Lipscomb,2594.7491922082795
1684,Texas,Schleicher,3084.6219481224416
425,Illinois,Carroll,2435.791153423799
140,Arkansas,Randolph,3027.35425697946
648,Kentucky,Fulton,2539.816428566803
759,Louisiana,Livingston,9670.751727612911
1305,Oklahoma,Love,2643.3391314500814
351,Georgia,Thomas,2002.5717575104138
399,Idaho,Jefferson,2540.3126225326873
1829,Virginia,Mecklenburg,2618.1344198254474
439,Illinois,Fayette,2488.675494700542
1062,Nevada,Clark,2656.4243837337244
830,Michigan,Kalkaska,2456.887020825878
889,Mississippi,Franklin,2676.797305061385
730,Kentucky,Woodford,3586.1632559914106
851,Michigan,Muskegon,2673.3332849324684
1744,Utah,Kane,4332.98667941224
357,Georgia,Turner,2775.769296403249
924,Mississippi,Pearl River,2626.0863672855053
702,Kentucky,Ohio,2678.7565039570654
43,Alabama,Madison,2672.4449901699736
458,Illinois,Kankakee,2304.1942913149614
729,Kentucky,Wolfe,2662.630580343304
819,Michigan,Gratiot,2388.389006430346
224,Georgia,Bartow,2388.8123460433326
628,Kentucky,Calloway,2493.447584714231
1064,Nevada,Elko,2629.144758307149
1322,Oklahoma,Payne,2591.473950363064
1175,North Carolina,Yancey,2485.9028365693907
1766,Vermont,Grand Isle,2819.5602449055873
311,Georgia,Marion,2289.63643759079
1814,Virginia,Henrico,4790.832111956951
440,Illinois,Ford,2720.9081600465065
716,Kentucky,Shelby,2608.0448362470474
746,Louisiana,East Baton Rouge,2751.73125158838
1820,Virginia,King George,1416.341936754382
1200,Ohio,Franklin,2545.3432830443344
1891,New York,Queens,2609.4432079930325
324,Georgia,Oglethorpe,3731.225496363666
271,Georgia,Fayette,2629.7893268668718
1342,South Carolina,Allendale,2531.8889469442092
888,Mississippi,Forrest,2365.6429875128706
1437,Tennessee,Loudon,2035.9969401066544
690,Kentucky,McCreary,30373.01344288363
606,Iowa,Winnebago,4376.637093070219
1770,Vermont,Windham,3971.123525864782
519,Iowa,Black Hawk,2612.5545033539242
1111,North Carolina,Gaston,2445.9473003455805
1466,Tennessee,Sullivan,2843.388305747544
1482,Texas,Angelina,5423.588591187481
321,Georgia,Muscogee,2544.805900032844
1521,Texas,Coleman,2439.292553321233
1419,Tennessee,Hardeman,2779.66252689645
