,0,1,2
251,Florida,Lee,1068.4577960308534
1195,North Carolina,Person,1633.0990881646371
865,Mississippi,Leflore,3361.171658199026
1847,Virginia,Fauquier,1954.6825480077205
1639,Texas,Howard,2374.842472082327
1790,Utah,Juab,7248.2340081708035
182,Colorado,Huerfano,1731.2716349079346
884,Mississippi,Rankin,1264.008658982836
1902,Virginia,Shenandoah,7020.3061762986135
1539,Texas,Bee,3114.3303652339337
932,Missouri,Cooper,1850.381868658873
1240,Ohio,Cuyahoga,1334.1207021549126
1029,Nebraska,Cherry,1715.9523556889596
489,Illinois,Carroll,1908.7156127663952
214,Colorado,Teller,2444.3743479800764
438,Georgia,Worth,4746.5994709651995
161,Colorado,Broomfield,1630.2480375975467
969,Missouri,Mercer,1616.7555562637365
145,Arkansas,Sevier,1943.2136803642913
263,Florida,Orange,1704.2176469610715
27,Alabama,Fayette,1155.704966073589
1431,South Carolina,Williamsburg,1947.4297979467985
500,Illinois,Edgar,2673.750973976016
727,Maine,Cumberland,1549.629395248881
1836,Virginia,Charles City,1743.7076411198002
1878,Virginia,Montgomery,1534.11905060955
892,Mississippi,Tate,1612.5763853100862
1239,Ohio,Crawford,1549.0802325061306
1307,Ohio,Wayne,1647.4870541595676
898,Mississippi,Warren,31507.78441947643
1169,North Carolina,Hoke,5557.237301878631
80,Arkansas,Arkansas,4994.127721455216
537,Illinois,McDonough,1774.866403841283
1768,Texas,Wilbarger,1911.610786844863
1207,North Carolina,Stokes,2390.7191870603306
1910,Virginia,Tazewell,1667.975878559929
1401,South Carolina,Colleton,2704.1956149913553
1840,Virginia,Craig,5949.313958322435
166,Colorado,Costilla,1672.4982222138638
686,Louisiana,Cameron,1623.8396170514693
1733,Texas,Shackelford,742.7497612814782
926,Missouri,Chariton,6534.818950772499
497,Illinois,Crawford,3321.955809222456
605,Iowa,Des Moines,1579.0165916980993
1191,North Carolina,Pamlico,61.58295689344095
1217,North Carolina,Watauga,1747.8578338598072
1349,Oklahoma,Latimer,1856.8738148065754
1536,Texas,Bandera,5137.4752303512005
1735,Texas,Sherman,1577.4497153806
608,Iowa,Emmet,1804.5563875332389
899,Mississippi,Washington,1734.036777360469
947,Missouri,Hickory,3052.1831315320997
1301,Ohio,Tuscarawas,2858.6611687588174
1230,Ohio,Brown,7829.707441385289
270,Florida,Santa Rosa,2868.3905895515863
1416,South Carolina,Laurens,1790.9293832954081
1371,Oklahoma,Pontotoc,1917.5242257982036
215,Colorado,Washington,2525.4225631011495
181,Colorado,Hinsdale,1549.2017965747118
1311,Oklahoma,Adair,41230.269261771035
72,Arizona,Maricopa,1839.4460836715466
49,Alabama,Montgomery,1565.240060076172
1469,Tennessee,Haywood,1659.942675018147
245,Florida,Holmes,1536.3793552261816
1214,North Carolina,Wake,1707.0498281713994
1721,Texas,Roberts,1920.4461688555386
97,Arkansas,Crittenden,5692.738980637989
1750,Texas,Tom Green,2100.7428568553096
1884,Virginia,Northumberland,1702.1042064079693
66,Arizona,Cochise,3555.2593831915065
1329,Oklahoma,Creek,1617.4789132223477
1124,North Carolina,Alamance,5016.8554185454095
1015,Nebraska,Antelope,2253.5988020816367
614,Iowa,Grundy,1621.3379741606639
1369,Oklahoma,Payne,1598.1488001324403
470,Idaho,Madison,1688.8045221849034
1275,Ohio,Meigs,11039.754838872213
412,Georgia,Taylor,1876.484416209325
984,Missouri,Pettis,1951.9037620603735
1890,Virginia,Powhatan,1772.5135895858766
1617,Texas,Gregg,1967.4213481404279
1417,South Carolina,Lee,1710.210788051683
1774,Texas,Wood,2102.948006487016
1427,South Carolina,Saluda,2065.3108390165335
950,Missouri,Howell,1593.0526502960017
298,Georgia,Butts,1828.2206202884074
661,Iowa,Tama,6359.8844738478765
713,Louisiana,Richland,1876.260132297215
1820,Virginia,Alleghany,1767.8462616014328
1219,North Carolina,Wilkes,2020.624733221087
460,Idaho,Fremont,2308.1784782818536
1866,Virginia,King and Queen,1583.6324393366208
207,Colorado,Rio Grande,1551.698582323373
100,Arkansas,Desha,1680.2691027623573
1908,Virginia,Surry,2223.927694036008
1895,Virginia,Rappahannock,5029.176406153834
1052,Nebraska,Greeley,11438.126457103335
717,Louisiana,Terrebonne,2186.914302443546
1484,Tennessee,Loudon,2273.7457071603776
499,Illinois,Douglas,53514.70766221944
1363,Oklahoma,Okfuskee,1599.9331979283945
876,Mississippi,Oktibbeha,6085.883138355356
548,Illinois,Perry,1511.879071112309
24,Alabama,Elmore,1572.9797764832922
512,Illinois,Hardin,2001.7538997205822
772,Michigan,Grand Traverse,8259.090822975177
501,Illinois,Edwards,23378.8559463244
175,Colorado,El Paso,27132.424533190304
809,Michigan,Ogemaw,2241.21271415072
1245,Ohio,Fairfield,2028.9905812956126
1773,Texas,Wise,3095.4218654061724
1415,South Carolina,Lancaster,1665.2485044650464
