,0,1,2
1821,Virginia,King William,3122.6015448472904
1388,Tennessee,Benton,8090.8606930662845
1804,Virginia,Frederick,1575.1010518839732
1702,Texas,Titus,1572.6897394092225
1249,Ohio,Seneca,2452.0957156447794
1254,Ohio,Tuscarawas,1782.866980019718
1451,Tennessee,Overton,1724.3920349621224
689,Kentucky,McCracken,1609.3671562365544
1299,Oklahoma,Kay,1820.5823774111068
1118,North Carolina,Harnett,1673.8844192647555
529,Iowa,Cerro Gordo,1950.298489015729
951,Mississippi,Yazoo,1566.2929340057292
1707,Texas,Upshur,2510.885545909059
1367,South Carolina,Kershaw,7473.616962054955
83,Arkansas,Benton,1858.1563209653214
1233,Ohio,Morgan,1576.5235401914592
1305,Oklahoma,Love,1617.5553306185393
1132,North Carolina,Madison,2195.5889310287944
1042,Missouri,Saline,1653.9425550026367
143,Arkansas,Searcy,1601.9316106473116
334,Georgia,Rabun,1702.9420031401378
707,Kentucky,Perry,3046.2825785250734
1181,Ohio,Auglaize,1606.8309490156007
1867,Virginia,Westmoreland,4016.8079488464205
1348,South Carolina,Calhoun,1678.2300606057165
1737,Utah,Davis,2162.242069107931
508,Illinois,Whiteside,1616.3257047127477
139,Arkansas,Pulaski,1598.3905326065917
1268,Oklahoma,Beckham,5167.426001176733
45,Alabama,Marion,2408.238035478418
872,Mississippi,Adams,1974.1835121920171
1463,Tennessee,Shelby,1656.5970402210278
1812,Virginia,Hampton,1571.4151471810653
1766,Vermont,Grand Isle,1766.5633898765718
486,Illinois,Pike,1606.392117241019
810,Michigan,Crawford,2010.0518577293394
1293,Oklahoma,Harper,1636.8795465443966
491,Illinois,Richland,1708.222434555403
1881,New York,Albany,1605.82456291627
1140,North Carolina,New Hanover,3153.179368891936
109,Arkansas,Hot Spring,1586.5297665394353
22,Alabama,Dale,2219.5432037402807
1280,Oklahoma,Cotton,1744.7707717112144
663,Kentucky,Hickman,1624.6895987106152
1017,Missouri,Mississippi,2865.184292749575
182,Florida,Indian River,2621.6698816523667
301,Georgia,Lanier,5156.422363192358
759,Louisiana,Livingston,3581.634002744373
1419,Tennessee,Hardeman,1827.7102104036308
1758,Utah,Washington,1851.6510717518508
392,Idaho,Clearwater,3702.662573183435
