DF#,City,County,State,TweetLoc,RatioFuzzy
0,columbus,colorado,texas, columbus ohio,79
1,new ulm,austin,texas, austin texas,100
2,ketchikan,ketchikan gateway,alaska, ,100
3,dammeron valley,washington,utah, washington state outback,73
4,ketchikan,ketchikan gateway,alaska, ,100
5,weeping water,cass,nebraska, deep in the swomps ,60
6,ketchikan,ketchikan gateway,alaska, ,100
7,ketchikan,ketchikan gateway,alaska, ,100
8,hanna,mcintosh,oklahoma, mci,100
9,warne,clay,north carolina, north carolina usa,88
10,mc lemoresville,carroll,tennessee, mooresville nc,87
11,ketchikan,ketchikan gateway,alaska, ,100
12,el portal,mariposa,california, fort marcy park va,63
13,lake huntington,sullivan,new york, long island new york,78
14,ketchikan,ketchikan gateway,alaska, ,100
15,ketchikan,ketchikan gateway,alaska, ,100
16,south lake tahoe,el dorado,california, seattle - the emerald city,56
17,ketchikan,ketchikan gateway,alaska, ,100
18,skagway,skagway,alaska, usa,75
19,greensboro,henry,indiana, greensboro nc,86
20,denali national park,denali,alaska, pa,100
21,edinburg,hidalgo,texas, edinburgh in,77
22,ketchikan,ketchikan gateway,alaska, ,100
23,ketchikan,ketchikan gateway,alaska, ,100
24,el paso,el paso,texas, texas,100
25,yemassee,hampton,south carolina, south carolina,100
26,running springs,san bernardino,california, running. ,80
27,ketchikan,ketchikan gateway,alaska, ,100
28,quail,collingsworth,texas, south texas,83
29,ketchikan,ketchikan gateway,alaska, ,100
30,west lafayette,tippecanoe,indiana, nw indiana,82
31,ketchikan,ketchikan gateway,alaska, ,100
32,art,mason,texas, deep in the heart of texas,73
33,ketchikan,ketchikan gateway,alaska, ,100
34,sapphire,transylvania,north carolina, trumpsylvania,79
35,elmira,chemung,new york, new york,100
36,ketchikan,ketchikan gateway,alaska, ,100
37,hunters,stevens,washington, united states ukraine,59
38,hunters,stevens,washington, united states ukraine,59
39,ketchikan,ketchikan gateway,alaska, ,100
40,watton,baraga,michigan, michigan usa,82
41,new caney,montgomery,texas, cranberry country,67
42,truckee,nevada,california, california,100
43,ketchikan,ketchikan gateway,alaska, ,100
44,oklahoma city,oklahoma,oklahoma, oklahoma city ok,94
