SN,ID,NAME,FinalCounty,Location1,Location2,,,,,,
1,159604506, sstroh84 , Columbus Ohio, Columbus, Ohio,,,,,,
2,21493886, KathyBenjamin , Austin Texas, Austin, Texas,,,,,,
3,2268321580, DrJacaranda , , ,,,,,,,
4,345858289, mishayah , Washington State outback, Washington State outback,,,,,,,
5,7.14908E+17, AaronSims31 , , ,,,,,,,
6,7.07981E+17, SayPabon , Deep in the swomps , Deep in the swomps ,,,,,,,
7,869025762, Wolfiedoggy , , ,,,,,,,
8,22500550, Enlighten2881 , , ,,,,,,,
9,1956835585, CoakleyRapist , MCI, MCI,,,,,,,
10,3622223535, shirleyvc725 , North Carolina USA, North Carolina, USA,,,,,,
11,2941051091, squzzle , Mooresville NC, Mooresville, NC,,,,,,
12,814922180, eracle4 , , ,,,,,,,
13,3185009626, VinceFosterJr , Fort Marcy Park VA, Fort Marcy Park, VA,,,,,,
14,849556892, DWinderbaum , Long Island New York, Long Island, New York,,,,,,
15,1947900744, C4Constitution , , ,,,,,,,
16,132722100, dej388 , , ,,,,,,,
17,1376035327, dgdocter12 , Seattle - The Emerald City, Seattle - The Emerald City,,,,,,,
18,4856145406, JoxuaLuxor , , ,,,,,,,
19,414956114, KwaakYola , USA, USA,,,,,,,
20,7.03238E+17, Jen_N_Russ , Greensboro NC, Greensboro, NC,,,,,,
21,715261196, RickBaker17 , PA, PA,,,,,,,
22,4644515728, shagsterjo , Edinburgh IN, Edinburgh, IN,,,,,,
23,926319505, FalconYourHero , , ,,,,,,,
24,1114477892, mary_orders , , ,,,,,,,
25,2481146024, JackieWillard2 , texas, texas,,,,,,,
26,235662557, jcoxner , South Carolina, South Carolina,,,,,,,
27,3006482092, KillaryKKlinton , Running. , Running. ,,,,,,,
28,980184488, eput666 , , ,,,,,,,
29,325102575, crazyfamilyomg , South Texas, South Texas,,,,,,,
30,7.14908E+17, AaronSims31 , , ,,,,,,,
31,1930793629, mgd4177 , NW Indiana, NW Indiana,,,,,,,
32,614841173, DWG_958 , , ,,,,,,,
33,419147701, TexasFirestorm , Deep in the heart of Texas, Deep in the heart of Texas,,,,,,,
34,384005220, woitekj , , ,,,,,,,
35,49452556, DarkStream , Trumpsylvania, Trumpsylvania,,,,,,,
36,971702731, euppanu437 , New york, New york,,,,,,,
37,3372671914, francesdavis78 , , ,,,,,,,
38,423625300, discjocke52 , United States Ukraine, United States, Ukraine,,,,,,
39,423625300, discjocke52 , United States Ukraine, United States, Ukraine,,,,,,
40,860691823, LOYALtoTRUMP , , ,,,,,,,
41,22429865, patientgrshppr , Michigan USA, Michigan, USA,,,,,,
42,383418826, c5hardtop1999 , Cranberry Country, Cranberry Country,,,,,,,
43,3220418570, coastin42 , California, California,,,,,,,
44,424256116, OHSportsGirl , , ,,,,,,,
45,374051092, heath_karen , Oklahoma City OK, Oklahoma City, OK,,,,,,
46,531854855, davidhe46361805 , Fremont.Ca, Fremont.Ca,,,,,,,
47,4855625836, cinderella2b , North Carolina USA, North Carolina, USA,,,,,,
48,971702731, euppanu437 , New york, New york,,,,,,,
49,3739426048, optimistic_now , , ,,,,,,,
50,4501498394, Vote4TrumpPrez , USA, USA,,,,,,,
51,2423084821, TheThreeFuries , The Non-Islamic World, The Non-Islamic World,,,,,,,
52,2789826107, Jurygal08 , PhiladelphiaPA, Philadelphia,PA,,,,,,
53,391616623, cedrictillman , Charlotte NC, Charlotte, NC,,,,,,
54,3958532542, StuckeyFreddy , Montgomery AL, Montgomery, AL,,,,,,
55,3536120422, Socratic_Oath , Athens Greece, Athens, Greece,,,,,,
56,28472104, SpiritEquality , DC by way of New Orleans, DC, by way of New Orleans,,,,,,
57,7.07681E+17, BaBea39 , , ,,,,,,,
58,4019065804, DustiSwgel , United States, United States,,,,,,,
59,2379259568, cos_tennessee , Tennessee, Tennessee,,,,,,,
60,2249692951, Time4Armor , GREAT STATE OF TEXAS , GREAT STATE OF TEXAS ,,,,,,,
61,110978799, gayle639 , , ,,,,,,,
62,2816395922, TickerTapeVote , GREAT STATE OF TEXAS ??, GREAT STATE OF TEXAS ??,,,,,,,
63,920161381, ForQ2 , USA, USA,,,,,,,
64,28259599, CarolynG0213 , SoFlo, SoFlo,,,,,,,
65,3054499791, georgiano_king , United States, United States,,,,,,,
66,121656624, PJStrikeForce , Great State Of TEXAS ??, Great State Of TEXAS ??,,,,,,,
67,2877376161, weavetheone , , ,,,,,,,
68,355151947, O_IrishT , Tennessee USA, Tennessee, USA,,,,,,
69,860066108, CErdley , , ,,,,,,,
70,2763007723, SweepsFox , , ,,,,,,,
71,50567379, kewlwench13 , New York City, New York City,,,,,,,
72,3927572774, hale4jesus , , ,,,,,,,
73,35567361, _Christophoros_ , Texas, Texas,,,,,,,
74,200163987, healthandcents , AZ  TX www.MedExpertChile.com , AZ  TX www.MedExpertChile.com ,,,,,,,
75,950738846, FroodyWisco , BirchWalkerstan Labor Camp 79 , BirchWalkerstan Labor Camp 79 ,,,,,,,
76,2180959435, ManBearSquid1 , Do you want to Assimilate?, Do you want to Assimilate?,,,,,,,
77,4214490557, MariuAntonini , Suwanee GA, Suwanee, GA,,,,,,
78,4774170301, WhoShouldIVote4 , United States, United States,,,,,,,
79,34001553, oneluckybean_ , New York USA, New York, USA,,,,,,
80,3407373749, sarahbluewave , HollywoodFl, Hollywood,Fl,,,,,,
81,439555636, dannykorcz , Islandia NY, Islandia, NY,,,,,,
82,3321777673, PDN_Spring , , ,,,,,,,
83,235672285, WidowFike , , ,,,,,,,
84,2934738424, Santino__ , Intercourse PA, Intercourse, PA,,,,,,
85,3151821750, CharlotteOnder1 , NEOhio, NEOhio,,,,,,,
86,1349829794, SableViews , rural Wisconsin USA, rural Wisconsin, USA,,,,,,
87,971704531, 6yyumj , USA, USA,,,,,,,
88,4221892522, rose10052 , mid west, mid west,,,,,,,
89,3060330596, Virginia_Girl57 , Virginia USA, Virginia, USA,,,,,,
90,573827350, janimuc , , ,,,,,,,
91,2431107457, LiveNewsyTweets , , ,,,,,,,
92,779229733, lambdallas , Dublin City Ireland, Dublin City, Ireland,,,,,,
93,187351126, KMCaton , , ,,,,,,,
94,3317319301, ktd101551 , , ,,,,,,,
95,7.07981E+17, SayPabon , Deep in the swomps , Deep in the swomps ,,,,,,,
96,4886272079, BettyGibet , , ,,,,,,,
97,2484502645, MarcZbikowski , Seattle, Seattle,,,,,,,
98,4605113535, julie_cappiello , , ,,,,,,,
99,1376035327, dgdocter12 , Seattle - The Emerald City, Seattle - The Emerald City,,,,,,,
100,7.09059E+17, jojos6Texas , , ,,,,,,,
101,135857034, D_Raval , LondonUK, London,UK,,,,,,
102,7.09059E+17, jojos6Texas , , ,,,,,,,
103,2492252882, MarlboroughRCC , Marlborough CT, Marlborough, CT,,,,,,
104,7.09059E+17, jojos6Texas , , ,,,,,,,
105,4871126956, ShadowSalute , , ,,,,,,,
106,24661757, 73degrees , People's Republic of Hellinois, People's Republic of Hellinois,,,,,,,
107,305017129, AModelsMom2011 , , ,,,,,,,
108,2887604717, thesmallbluebox , new york, new york,,,,,,,
109,2909746906, Jimpilner123 , , ,,,,,,,
110,394319229, LorenJ1975 , San Jose CA, San Jose, CA,,,,,,
111,4086424329, marineshamus , , ,,,,,,,
