sn,neg,neu,pos,compound
0,0,0.828,0.172,0.4404
1,0.119,0.881,0,-0.3182
1,0,1,0,0
1,1,0,0,-0.5423
2,0.306,0.511,0.184,-0.2942
2,0,1,0,0
2,0.393,0.607,0,-0.5983
3,0,1,0,0
4,0,1,0,0
5,0.19,0.581,0.229,0.296
5,0,1,0,0
6,0.136,0.775,0.089,-0.3167
7,0.256,0.744,0,-0.7351
7,0,1,0,0
8,0.06,0.94,0,-0.0572
9,0.06,0.94,0,-0.0572
10,0.19,0.581,0.229,0.296
10,0,1,0,0
11,0.06,0.94,0,-0.0572
12,0.06,0.94,0,-0.0572
13,0,0.813,0.188,0.4588
14,0.06,0.94,0,-0.0572
15,0.306,0.511,0.184,-0.2942
15,0,1,0,0
15,0.393,0.607,0,-0.5983
16,0,0.69,0.31,0.6696
16,0,0.775,0.225,0.4926
16,0,1,0,0
17,0,1,0,0
17,0,0.682,0.318,0.4215
18,0,1,0,0
19,0.126,0.874,0,-0.3818
20,0,0.867,0.133,0.3818
20,0,0.508,0.492,0.4404
21,0.19,0.581,0.229,0.296
21,0,1,0,0
22,0,0.25,0.75,0.7184
22,0.181,0.649,0.17,-0.0583
22,0,1,0,0
23,0.306,0.511,0.184,-0.2942
23,0,1,0,0
23,0.393,0.607,0,-0.5983
24,0,1,0,0
25,0.19,0.581,0.229,0.296
25,0,1,0,0
26,0.06,0.94,0,-0.0572
27,0.06,0.94,0,-0.0572
28,0.152,0.848,0,-0.3612
29,0.06,0.94,0,-0.0572
30,0.306,0.511,0.184,-0.2942
30,0,1,0,0
30,0.393,0.607,0,-0.5983
31,0.19,0.581,0.229,0.296
31,0,1,0,0
32,0,1,0,0
32,0,0.682,0.318,0.4215
33,0.06,0.94,0,-0.0572
34,0.388,0.612,0,-0.8957
35,0.19,0.581,0.229,0.296
35,0,1,0,0
36,0.306,0.511,0.184,-0.2942
36,0,1,0,0
36,0.393,0.607,0,-0.5983
37,0,0.847,0.153,0.4404
38,0,0.828,0.172,0.4404
39,0,1,0,0
39,0,0.682,0.318,0.4215
40,0.06,0.94,0,-0.0572
41,0.306,0.511,0.184,-0.2942
41,0,1,0,0
41,0.393,0.607,0,-0.5983
42,0,1,0,0
42,0,0.682,0.318,0.4215
43,0,0.856,0.144,0.4019
43,0,1,0,0
44,0,1,0,0
44,0,0.682,0.318,0.4215
45,0.19,0.581,0.229,0.296
45,0,1,0,0
46,0,1,0,0
46,0,0.682,0.318,0.4215
47,0.06,0.94,0,-0.0572
48,0,1,0,0
48,0,0.752,0.248,0.5106
48,0,0,0,0
49,0.06,0.94,0,-0.0572
50,0.06,0.94,0,-0.0572
51,0.06,0.94,0,-0.0572
52,0,0.828,0.172,0.4404
53,0,1,0,0
53,0,0.752,0.248,0.5106
53,0,0,0,0
54,0.19,0.581,0.229,0.296
54,0,1,0,0
55,0.13,0.494,0.377,0.6124
55,0.232,0.526,0.242,0.0258
56,0.19,0.581,0.229,0.296
56,0,1,0,0
57,0.306,0.511,0.184,-0.2942
57,0,1,0,0
57,0.393,0.607,0,-0.5983
58,0.06,0.94,0,-0.0572
59,0.06,0.94,0,-0.0572
60,0.19,0.581,0.229,0.296
60,0,1,0,0
61,0.06,0.94,0,-0.0572
62,0,0.828,0.172,0.4404
63,0,0.73,0.27,0.5719
63,0,0.674,0.326,0.4404
64,0.06,0.94,0,-0.0572
65,0.067,0.933,0,-0.0572
66,0.306,0.511,0.184,-0.2942
66,0,1,0,0
66,0.393,0.607,0,-0.5983
67,0.059,0.941,0,-0.0191
68,0.19,0.581,0.229,0.296
68,0,1,0,0
69,0.19,0.581,0.229,0.296
69,0,1,0,0
70,0,0.835,0.165,0.5158
71,0,1,0,0
71,0,0.682,0.318,0.4215
72,0,0.828,0.172,0.4404
73,0.19,0.581,0.229,0.296
73,0,1,0,0
74,0,0.828,0.172,0.4404
75,0.286,0.714,0,-0.8137
76,0,1,0,0
77,0,1,0,0
77,0.474,0.526,0,-0.4019
78,0.116,0.794,0.09,-0.1779
79,0.19,0.581,0.229,0.296
79,0,1,0,0
80,0,0.604,0.396,0.7096
80,0,0.364,0.636,0.5411
81,0.128,0.872,0,-0.3595
81,0,0.417,0.583,0.4199
82,0,1,0,0
82,0,0.682,0.318,0.4215
83,0.19,0.581,0.229,0.296
83,0,1,0,0
84,0.19,0.581,0.229,0.296
84,0,1,0,0
85,0,0.828,0.172,0.4404
86,0.19,0.581,0.229,0.296
86,0,1,0,0
87,0,0.73,0.27,0.5719
87,0,0.674,0.326,0.4404
88,0,1,0,0
88,0,0.752,0.248,0.5106
88,0,0,0,0
89,0.306,0.511,0.184,-0.2942
89,0,1,0,0
89,0.393,0.607,0,-0.5983
90,0.306,0.511,0.184,-0.2942
90,0,1,0,0
90,0.393,0.607,0,-0.5983
91,0,1,0,0
92,0.306,0.511,0.184,-0.2942
92,0,1,0,0
92,0.393,0.607,0,-0.5983
93,0.376,0.624,0,-0.9012
94,0,1,0,0
